userName,score,content,at,thumbsUpCount,source,app
Kayanat Anika,1,honestly i think there is a problem cuz i cant download it,2026-03-12 23:21:40,0,ali-express_reviews,unknown
Nunya Biz,5,apparently when i set setting for notification and turn off specific one because i hate being spammed your company ignores it i dont need to be notified 5 time a day because you think i need to know that fingernail clipper are on sale stop it,2026-03-12 22:42:39,4,ali-express_reviews,unknown
Samarth Sandeep,1,this is by far the worst app i have bought 3 product from it and non of them have came and when i contact the shipping company they instantly hang up highly whould not recommend most of the 5 star review are probobly bot and this is one of the worst apps do not install or use and the same happend to my friend,2026-03-12 22:14:26,0,ali-express_reviews,unknown
Rubysu aka Natalie Debler,3,my first package arrived but with counterfeit postage i had to pay an extra 1375 to get from my local post office i hope the other 2 do not happen this way,2026-03-12 21:38:03,0,ali-express_reviews,unknown
Toni Dawn Moore,4,never shopped there yet,2026-03-12 21:24:39,0,ali-express_reviews,unknown
Asia Johnson,3,buy from these guy,2026-03-12 20:36:18,0,ali-express_reviews,unknown
Lebohang Pasane,1,worst experience ever they were so nice before i bought but after i bought they became cold and negligent they lied and said my order is in my country but it never arrived if thats how they go about scamming people judgement is surely to befall them i forgive you no string attached i just feel sorry for you,2026-03-12 20:04:32,0,ali-express_reviews,unknown
Charles Jenkins,5,i like the app ive only had it a couple day but it is better than doing survey,2026-03-12 20:00:07,0,ali-express_reviews,unknown
Falodun Akinwale,4,nice apphas very good and genuine product vendor are good,2026-03-12 19:48:10,0,ali-express_reviews,unknown
e G,1,imma have to give this one star only because of it false advertisement on the pricing,2026-03-12 19:22:18,0,ali-express_reviews,unknown
Dash Mxt,1,if youre in need of the product very quickly you may get a heart attack coz they take forever and you may even forget and think it a scam,2026-03-12 19:19:55,0,ali-express_reviews,unknown
Honor Ao,1,the item i ordered never arrived i also reorder still nothing waste of moneyon this apk,2026-03-12 18:57:06,0,ali-express_reviews,unknown
Michael Ward,1,ive tried contacting aliexpress on numerous occasion with no replyi ordered an item in january and order still not arrived checked tracker saying shipment cancelled but have no explanation into when it will arrive lost patience with themwhy cant i have some communication,2026-03-12 18:54:50,0,ali-express_reviews,unknown
Nyanda,2,these people are scammer if you buy something that come in bulk or that is more than one like the turquoise ring that come in more than one size a mix that come in 2030pcs that i have not received they dont show up mysteriously and they blame you and the carrier but item that were bought that is single item or set oh those show up fine no problem then they dont want to refund you back anything these are not honest or godly people it a facade to sale their product,2026-03-12 18:47:06,1,ali-express_reviews,unknown
Karl Carroll,3,why do i need this app to track my package why cant i do it online through a browser exactly,2026-03-12 18:00:39,0,ali-express_reviews,unknown
Cynthia Butler,3,ad said pick 3 free item i picked them then they said it would cost me 800 to recieve them how is that freefalse advertising,2026-03-12 17:20:41,0,ali-express_reviews,unknown
GIZMO SATANICO,1,i can not sign in 10003 server or network error,2026-03-12 16:56:00,0,ali-express_reviews,unknown
Rahl Gadu,5,למה זה לא מוריד לי ניסיתי אד 24 שאות אפילו יתמול,2026-03-12 16:48:37,0,ali-express_reviews,unknown
Zelda Hulley,1,funny how the discount is removed a soon a you need to pay,2026-03-12 14:39:26,0,ali-express_reviews,unknown
Sara Oliver,5,easy shopping with fun innovative broad selection,2026-03-12 14:36:42,0,ali-express_reviews,unknown
Candy Biehle,1,never got my stuff i paid for my watch daughter jerrika kid cup or cap for her head pissed off please fix the problem,2026-03-12 14:12:58,0,ali-express_reviews,unknown
Joni Shkembi,1,very high price a if they are selling diamond,2026-03-12 13:05:50,0,ali-express_reviews,unknown
Jagger Norden,2,price are good but i hate that choice thing almost everything is a choice i want to buy one thing not three please remove this aliexpress,2026-03-12 13:02:02,1,ali-express_reviews,unknown
Jesson,1,brought faulty item refused credit or refund unable to submit video or picture due to their site not accepting the file even though format wa correct uninstalling over a mere 12,2026-03-12 12:23:59,0,ali-express_reviews,unknown
Jamie Harris,1,when i unsubscribe from certain notification category i still receive notification for those category this practice is unlawful,2026-03-12 10:41:23,0,ali-express_reviews,unknown
Michael K,1,aliexpress ha reached a new low not only did they fail to deliver a combined shipment of multiple item but they also provided false tracking information to paypal to block a legitimate refund the support is nonexistent and the buyer protection is a complete fabrication i am now escalating this a a fraudulent transaction through my credit card company to force a chargeback do not trust this platform with your money they will lie to payment processor to avoid taking responsibility,2026-03-12 10:28:27,1,ali-express_reviews,unknown
rrockstaarr,1,terrible app havnt received my order and it been well over a month no refund they keep replying that someone will get back to me within 2448 hour so i message every three day and still the same response do not buy from here,2026-03-12 10:18:33,1,ali-express_reviews,unknown
Cynthia Swartout,1,it just not for me i unsubscribed and i still get email from them i am not interested in this company and dont know why i still get email from them when i unsubscribed i wish they would stop sending me email please and thank you,2026-03-12 09:46:43,0,ali-express_reviews,unknown
John Ogba,1,very bad experience i bought a fake and damaged glass no compensation i just wasted my 3299 for nothing i did not use the video camera glass twice it stopped charging and all of a sudden the glass pulled out from the lens i am so disappointed that your customer service said they can not do anything that mean i should dispose the glass and lose my money i will continue to give you bad feedback if nothing is done,2026-03-12 09:40:26,0,ali-express_reviews,unknown
