userName,score,content,at,thumbsUpCount,source,truthLabel,score_based,rule_based,final_label
Kyri J,1,as a long term loyal customer it is clear that sellers and aliexpress work together against their customers when problems arisemisleading adverts documented verbal abuse from sellers when legitimately complaining aliexpress really does not care to act even after appealswhen you order something your probability of success in return is very low if there is a problem shipping is often not coveredcontact support so we can help is an automated waste of time and endless loop,2026-03-10 09:12:56,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Cynthia Butler,3,ad said pick 3 free items i picked them then they said it would cost me 800 to recieve them how is that freefalse advertising,2026-03-12 17:20:41,0,labeled_reviews_raw,Negative,Neutral,Neutral,Neutral
Hans Ko,1,site that dispose off factory defects at attractive prices as well as advertised for one thing and shipped you another customer service for return  refund are a nightmare as many here have already stated dont fall for this scam site,2026-03-12 09:12:24,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Ben P,1,after using a number of times my last order came broken in transit packaging was insufficient aliexpress made me jump through hoop after hoop and i had to film and photo an reasonable amount for the application then what they asked for was unreasonable a long video and photos of the package before it was opened time and date stamped which showed me opening it and finding the broken items they did not honour the their refund policy wont be using these scammer again avoid,2026-03-08 10:17:58,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Tracey Grimm,5,so far i always receive my delivery earlier then stated and never a problem ,2026-03-09 12:34:17,0,labeled_reviews_raw,Neutral,Positive,Negative,Neutral
Emmanuel,2,i login and they keep logging me out and now theyve temporarily suspended all my accounts,2026-03-09 20:06:16,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Ronnie,1,full of scammers constantly spamming emails and push notifications dogs,2026-03-11 04:56:46,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Luis Arroyos,4,working great so far,2026-03-08 02:12:34,0,labeled_reviews_raw,Positive,Positive,Positive,Positive
Delislav Asparuhov,1,too much notifications and spam,2026-03-07 21:51:08,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Scott Conder,1,sellers photos and descriptions are misleading prices have gotten too high sellers have raised prices by 500 on most items not worth it the search algorithm is garbage aliexpress needs to govern the sellers actions better i waste too much time looking for what i want i get frustrated and go to ebay instead,2026-03-12 00:27:03,4,labeled_reviews_raw,Negative,Negative,Negative,Negative
philip paranthoiene,4,nb  i never give 5 stars for anything so 4 stars is a maximum i had an issue with a delivery got to my country then disappearedali express were prompt and courteous to deal with it  i was eventually refunded the full amount i have now purchased the same item again,2026-03-11 08:06:57,0,labeled_reviews_raw,Positive,Positive,Negative,Positive
parky,1,scammers who refuse to refund you when they make a shipping error in the uk for your own sanity do not choose locker delivery at checkout instead tell evri to deliver to a locker when they send you the email otherwise aliexpress might send your stuff to a different courier who will then be unable to deliver to evris locker and you will be unable to get a refund from these scammers edit contact the help centre what do you think ive been trying to do for the past week,2026-03-07 16:18:37,1,labeled_reviews_raw,Neutral,Negative,Negative,Negative
Hjbihb Bjhbihb,1,app crashes when i search,2026-03-08 04:26:43,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Kevin Mcmahon,4,excellent ,2026-03-10 23:47:10,0,labeled_reviews_raw,Positive,Positive,Positive,Positive
Marie Barrow,4,great app with great products,2026-03-07 14:57:35,0,labeled_reviews_raw,Positive,Positive,Positive,Positive
Juan Roldan,1,sucked too many ads buggy super hard to stop from sending emails everything takes forever to arrive also you might find a 5 dollar item but with 20 dollar shipping so yeah kinda useless,2026-03-07 20:31:42,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Nicole Trammell,5,fun ,2026-03-11 15:29:00,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
Marky B,1,dont expect refunds avoid or be robbed customer service ai and just sends repetitive replies to any and all complaints avoid they sent a link that doesnt work as a reply too late deleted app all i can do is warn others not to install,2026-03-08 14:32:21,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
Zack,1,signed up and it instantly started spamming me uninstalled,2026-03-10 21:40:26,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Alex likes dogs,1,very slowit shows gross images no matter what you look upthings like infections or sexual images if an item says delivered and you didnt get it you dont get a refund the page refreshes every time i try to get one so i just cant also has things like swastikas and l0li the customer service doesnt help and you have to take 50 pictures of each item to return it even if you didnt get the item literally no way to get refunds do not install,2026-03-11 06:46:07,12,labeled_reviews_raw,Negative,Negative,Negative,Negative
Captain Traveler,1,the worst company ever see you at the court,2026-03-09 14:48:05,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
GIZMO SATANICO,1,i can not sign in 10003 server or network error,2026-03-12 16:56:00,0,labeled_reviews_raw,Neutral,Negative,Negative,Negative
Lion Soldier,3,title great app but impossible to pay in ghana i really want to use this app more and give it 5 stars but i am forced to give it 3 stars because of the payment methods in ghana most of us do not have bank accounts or international cards we use mtn mobile money momo for everything there are millions of us ready to buy but we are stuck at the checkout if you add mtn momo your app will be the 1 choice in ghana please help us shop by adding local mobile money options,2026-03-08 19:03:02,0,labeled_reviews_raw,Negative,Neutral,Neutral,Neutral
