userName,score,content,at,thumbsUpCount,source,app
Kayanat Anika,1,honestly think problem cuz cant download,2026-03-12 23:21:40,0,all_cleaned,unknown
Nunya Biz,5,apparently set setting notification turn specific one hate spammed company ignores dont need notified 5 time day think need know fingernail clipper sale stop,2026-03-12 22:42:39,4,all_cleaned,unknown
Samarth Sandeep,1,far worst app bought 3 product non came contact shipping company instantly hang highly whould recommend 5 star review probobly bot one worst apps install use happend friend,2026-03-12 22:14:26,0,all_cleaned,unknown
Rubysu aka Natalie Debler,3,first package arrived counterfeit postage pay extra 1375 get local post office hope 2 happen way,2026-03-12 21:38:03,0,all_cleaned,unknown
Toni Dawn Moore,4,never shopped yet,2026-03-12 21:24:39,0,all_cleaned,unknown
Asia Johnson,3,buy guy,2026-03-12 20:36:18,0,all_cleaned,unknown
Lebohang Pasane,1,worst experience ever nice bought bought became cold negligent lied said order country never arrived thats go scamming people judgement surely befall forgive string attached feel sorry,2026-03-12 20:04:32,0,all_cleaned,unknown
Charles Jenkins,5,like app ive couple day better survey,2026-03-12 20:00:07,0,all_cleaned,unknown
Falodun Akinwale,4,nice apphas good genuine product vendor good,2026-03-12 19:48:10,0,all_cleaned,unknown
e G,1,imma give one star false advertisement pricing,2026-03-12 19:22:18,0,all_cleaned,unknown
Dash Mxt,1,youre need product quickly may get heart attack coz take forever may even forget think scam,2026-03-12 19:19:55,0,all_cleaned,unknown
Honor Ao,1,item ordered never arrived also reorder still nothing waste moneyon apk,2026-03-12 18:57:06,0,all_cleaned,unknown
Michael Ward,1,ive tried contacting aliexpress numerous occasion replyi ordered item january order still arrived checked tracker saying shipment cancelled explanation arrive lost patience themwhy cant communication,2026-03-12 18:54:50,0,all_cleaned,unknown
Nyanda,2,people scammer buy something come bulk one like turquoise ring come one size mix come 2030pcs received dont show mysteriously blame carrier item bought single item set oh show fine problem dont want refund back anything honest godly people facade sale product,2026-03-12 18:47:06,1,all_cleaned,unknown
Karl Carroll,3,need app track package cant online browser exactly,2026-03-12 18:00:39,0,all_cleaned,unknown
Cynthia Butler,3,ad said pick 3 free item picked said would cost 800 recieve freefalse advertising,2026-03-12 17:20:41,0,all_cleaned,unknown
GIZMO SATANICO,1,sign 10003 server network error,2026-03-12 16:56:00,0,all_cleaned,unknown
Rahl Gadu,5,למה זה לא מוריד לי ניסיתי אד 24 שאות אפילו יתמול,2026-03-12 16:48:37,0,all_cleaned,unknown
Zelda Hulley,1,funny discount removed soon need pay,2026-03-12 14:39:26,0,all_cleaned,unknown
Sara Oliver,5,easy shopping fun innovative broad selection,2026-03-12 14:36:42,0,all_cleaned,unknown
Candy Biehle,1,never got stuff paid watch daughter jerrika kid cup cap head pissed please fix problem,2026-03-12 14:12:58,0,all_cleaned,unknown
Joni Shkembi,1,high price selling diamond,2026-03-12 13:05:50,0,all_cleaned,unknown
