userName,score,content,at,thumbsUpCount,source,app,score_based,rule_based,final_label
Cannon “Cannon”,1,everything seems to be rip offs of another product and this doe lead to uninformed customer buying product with incorrect description if your getting what you wanted i simply dont believe you spent hundred nothing authentic and nothing made it this far without a broken piece or similar issue,2026-02-25 18:06:48,2,ali-express_reviews,unknown,Negative,Negative,Negative
azka asim,5,very fast delivery product also good no damage,2026-03-12 10:48:21,0,temu_reviews,unknown,Positive,Positive,Positive
tracy nyaoro,5,excellent,2026-02-26 14:46:00,0,ali-express_reviews,unknown,Positive,Positive,Positive
Darla Hamilton,1,change payment card getting thing not ordered trying to change my payment method,2026-03-11 21:57:06,0,temu_reviews,unknown,Negative,Negative,Negative
mdad mia,5,good,2026-02-24 21:47:51,0,noon_reviews,unknown,Positive,Positive,Positive
Ethel Reid,1,it not letting me pick what i want,2026-03-11 04:43:07,0,ali-express_reviews,unknown,Negative,Negative,Negative
Donald K,1,recent update crashed everything everything is out of stock or the page doesnt loadshows error thing are slow to load a well,2026-03-05 23:36:58,0,amzon_reviews,unknown,Negative,Neutral,Negative
Cam & Family,5,ali is a great app for almost anything you need item i have purchased have all been exactly what i asked for and wanted and they last a longtime,2026-03-06 16:21:07,0,ali-express_reviews,unknown,Positive,Positive,Positive
Mellissa Cecil,5,fast shipping great product,2026-03-07 03:25:27,0,ali-express_reviews,unknown,Positive,Positive,Positive
Doc Jackson,1,this is now riduculous bought a genuine leather jacket from seller wellsome when it arrived it obvioulsly wasnt made from leather it also had a label in it which i translated via google translate which clearly stated the jacket wa 92 polyester and 8 spandex i immediately contacted ali who ignored this absolute evidence of fraud instead they allowed the seller to continue selling fake while repeatedly refusing my claim i went to my credit card company who gave me a refund,2026-02-18 21:12:24,3,ali-express_reviews,unknown,Negative,Negative,Negative
Marchand franklin Arends,5,i love my order it very nice,2026-03-12 13:52:44,0,temu_reviews,unknown,Positive,Positive,Positive
Sophia Hamilton,5,i bought the boneless couch an it is amazing great buy,2026-03-11 23:45:06,0,temu_reviews,unknown,Positive,Positive,Positive
kenda bradford,1,i used to love ordering from here but now they have cancelled order that have no reason to be cancelled and they still havent refunded my money for an order they cancelled so until they do it one star,2026-03-11 17:10:57,1,amzon_reviews,unknown,Negative,Positive,Negative
Mr and miss Whitcher,5,good,2026-03-07 20:33:02,0,amzon_reviews,unknown,Positive,Positive,Positive
ERIC GRINSTEAD,3,temu your company is great but some of your vendor need to follow your company policy and regulation that will make your client shopping great,2026-03-11 23:21:08,0,temu_reviews,unknown,Neutral,Positive,Neutral
Ross Belknap,5,awesome,2026-03-12 11:12:31,0,temu_reviews,unknown,Positive,Neutral,Positive
Chuck Evans,1,random add to last order got me thought i put in cart rufus ai is improving when it will start search review is gone price change notice vanish let me get them back lightning deal and used item dont have buy now change item sizecoloretc very slow too many review are not for listed product too much junk ha 4 star for another product need unit price filter sort please need a dark theme fix these id give it 5 star wa buy now never buy extended warranty,2026-03-11 02:08:10,83,amzon_reviews,unknown,Negative,Negative,Negative
MKII,3,really buggy and slow app customer service with agent feel like ai or a bot waiting for return after received an item that incorrectly advertised seller ignore you or deny their mistake they really changed my thought about chinese people let hope i get money back,2026-02-28 02:13:13,1,ali-express_reviews,unknown,Neutral,Neutral,Neutral
Fahad Al Maliki,2,they have some problem if you return item they not return back will not buy something expensive it piece of advice your money they will fly awy,2026-02-24 19:12:46,1,ali-express_reviews,unknown,Negative,Negative,Negative
Ali Raza,5,good store great alipay mpay gpay,2026-03-04 03:50:34,0,ali-express_reviews,unknown,Positive,Positive,Positive
Reg Lynn,3,it keep crashing,2026-03-08 18:41:54,1,amzon_reviews,unknown,Neutral,Neutral,Neutral
Sue White,3,im annoyed that before placing an order it say one delivery date and then after the order is placed it ha a different date later,2026-03-06 01:10:14,0,amzon_reviews,unknown,Neutral,Neutral,Neutral
Atanda Raji,5,i love temu dey deliver exactly what i got,2026-03-12 06:34:16,0,temu_reviews,unknown,Positive,Positive,Positive
Ms. Williams,1,do not like the update why why why do you have to add an item to the cart to see detail and price worse update ever if i can give 0 star i would,2026-03-06 00:22:31,1,amzon_reviews,unknown,Negative,Negative,Negative
Prakash H,4,good offer,2026-03-03 14:51:36,0,noon_reviews,unknown,Positive,Positive,Positive
Catherine Gladwyn,5,it great no complaint at all,2026-03-06 20:59:32,0,ali-express_reviews,unknown,Positive,Positive,Positive
Arsh Singh,5,deep,2026-03-11 22:44:48,0,temu_reviews,unknown,Positive,Neutral,Positive
rebecca padgett,5,get me in trouble but i love the app,2026-03-12 18:40:32,0,temu_reviews,unknown,Positive,Positive,Positive
Adeel Sarwar,4,this is a very good app,2026-03-10 01:22:05,0,noon_reviews,unknown,Positive,Positive,Positive
Elizabeth Elias,4,all good,2026-03-10 14:15:01,0,amzon_reviews,unknown,Positive,Positive,Positive
Syedhamid Ali,5,very good,2026-03-07 06:18:07,0,noon_reviews,unknown,Positive,Positive,Positive
Juan Mejia,5,great deal great product good experience to buy here,2026-03-10 20:01:31,0,amzon_reviews,unknown,Positive,Positive,Positive
Wurmi,5,app ist einfach zu bedienen und die produkte die man bestellt werden zuverlässig geliefert hatte bi jetzt keine probleme und bin zufrieden mit der app,2026-03-11 22:06:10,0,temu_reviews,unknown,Positive,Neutral,Positive
Santosh,4,good,2026-03-04 13:41:34,0,noon_reviews,unknown,Positive,Positive,Positive
MD Lokman Mia,5,good,2026-03-05 22:02:16,0,noon_reviews,unknown,Positive,Positive,Positive
Colin Crowley,1,shortest app and service they ask for photo of bank card and id which is illegal in au should be closed down,2026-03-08 16:37:29,1,ali-express_reviews,unknown,Negative,Neutral,Negative
Sam Fall,1,ha gone downhill in recent year i have been a loyal customer since 2010 the dispute process ha become overcomplicated and some courier used like cainao are not reputable they mark parcel a being delivered and do not respond to enquiry if you order from this platform ensure the seller is using imile courier they provide photo a proof of delivery edit any appeal or escalation end in the same way item that arrive faulty or damaged good luck trying to go through the dispute,2026-02-16 23:40:25,3,ali-express_reviews,unknown,Negative,Neutral,Negative
Lauren,3,amazon went down hill when they started letting anyone sell and ship item,2026-03-05 02:13:51,0,amzon_reviews,unknown,Neutral,Neutral,Neutral
Md Tarik Anwar,5,very good,2026-03-04 16:45:32,0,noon_reviews,unknown,Positive,Positive,Positive
Katie Hudson,2,everything seems reasonably priced they have a lot of pop up ad that doesnt seem to be true to me they offer an amount of credit that you can spin the wheel and receive a cash or credit on your account but once you are ready to pay for the order you get nothing some would call it a scam i call it false advertisement dont plan on giving you nothing but the product that you buy and pay for dont fall for the credit gimmick that they promotes,2026-03-11 23:08:52,0,temu_reviews,unknown,Negative,Negative,Negative
