model_name,dataset,model_type,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,true_labels,predictions,roc_auc_ovr
SVM (LINEAR) - minimal,minimal,svm,0.89,0.8976713859910581,0.89,0.8644705594458248,0.9287133631395926,0.6562419562419562,0.6576136335115327,0.794444254041729,"[0 2 2 0 2 0 0 2 2 0 2 2 0 2 1 2 0 1 0 2 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 0 0
 1 2 0 2 2 2 2 2 2 0 0 0 2 0 2 2 0 0 0 0 0 0 2 2 2 2 2 2 0 0 2 2 1 0 2 2 2
 0 2 0 0 0 2 2 1 0 0 0 0 2 0 2 2 0 0 2 0 0 2 2 2 2 1 2 2 2 0 0 1 2 0 0 0 2
 0 2 0 2 0 0 2 1 2 0 2 2 2 0 2 0 2 0 0 0 1 2 2 2 2 2 2 2 0 2 0 2 2 0 2 2 0
 1 2 0 2 2 2 1 0 0 2 2 2 0 0 2 2 2 2 1 2 0 0 2 0 0 0 2 0 2 2 2 2 2 2 0 2 2
 2 0 2 2 2 2 2 2 0 0 2 0 2 0 0]","[0 2 2 0 2 0 0 2 2 0 2 2 0 2 2 2 0 0 0 2 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 0 0
 0 2 0 2 2 2 2 2 2 0 0 0 2 0 2 2 0 0 0 0 0 0 2 2 2 2 2 2 0 0 2 2 2 0 2 2 2
 0 2 0 0 0 2 2 2 0 0 0 0 2 0 2 2 0 0 2 0 0 2 2 2 2 2 2 2 2 0 0 0 2 0 0 0 2
 0 2 2 2 0 0 2 2 2 0 2 2 2 0 2 0 0 0 2 2 2 2 2 2 2 2 2 2 0 2 0 2 2 0 2 2 0
 2 0 0 2 2 2 2 0 0 2 2 2 2 0 2 2 2 2 2 2 0 0 2 0 0 0 2 0 2 0 2 2 2 2 0 2 2
 2 2 2 2 0 2 2 2 0 0 2 0 2 0 0]",
SVM (RBF) - minimal,minimal,svm,0.93,0.932989543203082,0.93,0.9230918285254569,0.9501742799486332,0.7871814671814672,0.8302723824847719,0.8705026782094095,"[0 2 2 0 2 0 0 2 2 0 2 2 0 2 1 2 0 1 0 2 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 0 0
 1 2 0 2 2 2 2 2 2 0 0 0 2 0 2 2 0 0 0 0 0 0 2 2 2 2 2 2 0 0 2 2 1 0 2 2 2
 0 2 0 0 0 2 2 1 0 0 0 0 2 0 2 2 0 0 2 0 0 2 2 2 2 1 2 2 2 0 0 1 2 0 0 0 2
 0 2 0 2 0 0 2 1 2 0 2 2 2 0 2 0 2 0 0 0 1 2 2 2 2 2 2 2 0 2 0 2 2 0 2 2 0
 1 2 0 2 2 2 1 0 0 2 2 2 0 0 2 2 2 2 1 2 0 0 2 0 0 0 2 0 2 2 2 2 2 2 0 2 2
 2 0 2 2 2 2 2 2 0 0 2 0 2 0 0]","[0 2 2 0 2 0 0 2 2 0 2 2 0 2 2 2 0 0 0 2 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 0 0
 0 2 0 2 2 2 2 2 2 0 0 0 2 0 2 2 0 0 0 0 0 0 2 2 2 2 2 2 0 0 2 2 1 0 2 2 2
 0 2 0 0 0 2 2 1 0 0 0 0 2 0 2 2 0 0 2 0 0 2 2 2 2 1 2 2 2 0 0 0 2 0 0 0 2
 0 2 2 2 0 0 2 0 2 0 2 2 2 0 2 0 2 0 0 2 2 2 2 2 2 0 2 2 0 2 0 2 2 0 2 2 0
 1 0 0 2 2 2 2 0 0 2 2 2 2 0 2 2 2 2 1 2 0 0 2 0 0 0 2 0 2 2 2 2 2 2 0 2 2
 2 0 2 2 0 2 2 2 0 0 2 0 2 0 0]",
SVM (LINEAR) - stopwords,stopwords,svm,0.89,0.8976713859910581,0.89,0.8644705594458248,0.9287133631395926,0.6562419562419562,0.6576136335115327,0.794444254041729,"[0 2 2 0 2 0 0 2 2 0 2 2 0 2 1 2 0 1 0 2 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 0 0
 1 2 0 2 2 2 2 2 2 0 0 0 2 0 2 2 0 0 0 0 0 0 2 2 2 2 2 2 0 0 2 2 1 0 2 2 2
 0 2 0 0 0 2 2 1 0 0 0 0 2 0 2 2 0 0 2 0 0 2 2 2 2 1 2 2 2 0 0 1 2 0 0 0 2
 0 2 0 2 0 0 2 1 2 0 2 2 2 0 2 0 2 0 0 0 1 2 2 2 2 2 2 2 0 2 0 2 2 0 2 2 0
 1 2 0 2 2 2 1 0 0 2 2 2 0 0 2 2 2 2 1 2 0 0 2 0 0 0 2 0 2 2 2 2 2 2 0 2 2
 2 0 2 2 2 2 2 2 0 0 2 0 2 0 0]","[0 2 2 0 2 0 0 2 2 0 2 2 0 2 2 2 0 0 0 2 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 0 0
 0 2 0 2 2 2 2 2 2 0 0 0 2 0 2 2 0 0 0 0 0 0 2 2 2 2 2 2 0 0 2 2 2 0 2 2 2
 0 2 0 0 0 2 2 2 0 0 0 0 2 0 2 2 0 0 2 0 0 2 2 2 2 2 2 2 2 0 0 0 2 0 0 0 2
 0 2 2 2 0 0 2 2 2 0 2 2 2 0 2 0 0 0 2 2 2 2 2 2 2 2 2 2 0 2 0 2 2 0 2 2 0
 2 0 0 2 2 2 2 0 0 2 2 2 2 0 2 2 2 2 2 2 0 0 2 0 0 0 2 0 2 0 2 2 2 2 0 2 2
 2 2 2 2 0 2 2 2 0 0 2 0 2 0 0]",
SVM (RBF) - stopwords,stopwords,svm,0.93,0.932989543203082,0.93,0.9230918285254569,0.9501742799486332,0.7871814671814672,0.8302723824847719,0.8705026782094095,"[0 2 2 0 2 0 0 2 2 0 2 2 0 2 1 2 0 1 0 2 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 0 0
 1 2 0 2 2 2 2 2 2 0 0 0 2 0 2 2 0 0 0 0 0 0 2 2 2 2 2 2 0 0 2 2 1 0 2 2 2
 0 2 0 0 0 2 2 1 0 0 0 0 2 0 2 2 0 0 2 0 0 2 2 2 2 1 2 2 2 0 0 1 2 0 0 0 2
 0 2 0 2 0 0 2 1 2 0 2 2 2 0 2 0 2 0 0 0 1 2 2 2 2 2 2 2 0 2 0 2 2 0 2 2 0
 1 2 0 2 2 2 1 0 0 2 2 2 0 0 2 2 2 2 1 2 0 0 2 0 0 0 2 0 2 2 2 2 2 2 0 2 2
 2 0 2 2 2 2 2 2 0 0 2 0 2 0 0]","[0 2 2 0 2 0 0 2 2 0 2 2 0 2 2 2 0 0 0 2 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 0 0
 0 2 0 2 2 2 2 2 2 0 0 0 2 0 2 2 0 0 0 0 0 0 2 2 2 2 2 2 0 0 2 2 1 0 2 2 2
 0 2 0 0 0 2 2 1 0 0 0 0 2 0 2 2 0 0 2 0 0 2 2 2 2 1 2 2 2 0 0 0 2 0 0 0 2
 0 2 2 2 0 0 2 0 2 0 2 2 2 0 2 0 2 0 0 2 2 2 2 2 2 0 2 2 0 2 0 2 2 0 2 2 0
 1 0 0 2 2 2 2 0 0 2 2 2 2 0 2 2 2 2 1 2 0 0 2 0 0 0 2 0 2 2 2 2 2 2 0 2 2
 2 0 2 2 0 2 2 2 0 0 2 0 2 0 0]",
SVM (LINEAR) - lemmatization,lemmatization,svm,0.89,0.8976713859910581,0.89,0.8644705594458248,0.9287133631395926,0.6562419562419562,0.6576136335115327,0.794444254041729,"[0 2 2 0 2 0 0 2 2 0 2 2 0 2 1 2 0 1 0 2 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 0 0
 1 2 0 2 2 2 2 2 2 0 0 0 2 0 2 2 0 0 0 0 0 0 2 2 2 2 2 2 0 0 2 2 1 0 2 2 2
 0 2 0 0 0 2 2 1 0 0 0 0 2 0 2 2 0 0 2 0 0 2 2 2 2 1 2 2 2 0 0 1 2 0 0 0 2
 0 2 0 2 0 0 2 1 2 0 2 2 2 0 2 0 2 0 0 0 1 2 2 2 2 2 2 2 0 2 0 2 2 0 2 2 0
 1 2 0 2 2 2 1 0 0 2 2 2 0 0 2 2 2 2 1 2 0 0 2 0 0 0 2 0 2 2 2 2 2 2 0 2 2
 2 0 2 2 2 2 2 2 0 0 2 0 2 0 0]","[0 2 2 0 2 0 0 2 2 0 2 2 0 2 2 2 0 0 0 2 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 0 0
 0 2 0 2 2 2 2 2 2 0 0 0 2 0 2 2 0 0 0 0 0 0 2 2 2 2 2 2 0 0 2 2 2 0 2 2 2
 0 2 0 0 0 2 2 2 0 0 0 0 2 0 2 2 0 0 2 0 0 2 2 2 2 2 2 2 2 0 0 0 2 0 0 0 2
 0 2 2 2 0 0 2 2 2 0 2 2 2 0 2 0 0 0 2 2 2 2 2 2 2 2 2 2 0 2 0 2 2 0 2 2 0
 2 0 0 2 2 2 2 0 0 2 2 2 2 0 2 2 2 2 2 2 0 0 2 0 0 0 2 0 2 0 2 2 2 2 0 2 2
 2 2 2 2 0 2 2 2 0 0 2 0 2 0 0]",
SVM (RBF) - lemmatization,lemmatization,svm,0.93,0.932989543203082,0.93,0.9230918285254569,0.9501742799486332,0.7871814671814672,0.8302723824847719,0.8705026782094095,"[0 2 2 0 2 0 0 2 2 0 2 2 0 2 1 2 0 1 0 2 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 0 0
 1 2 0 2 2 2 2 2 2 0 0 0 2 0 2 2 0 0 0 0 0 0 2 2 2 2 2 2 0 0 2 2 1 0 2 2 2
 0 2 0 0 0 2 2 1 0 0 0 0 2 0 2 2 0 0 2 0 0 2 2 2 2 1 2 2 2 0 0 1 2 0 0 0 2
 0 2 0 2 0 0 2 1 2 0 2 2 2 0 2 0 2 0 0 0 1 2 2 2 2 2 2 2 0 2 0 2 2 0 2 2 0
 1 2 0 2 2 2 1 0 0 2 2 2 0 0 2 2 2 2 1 2 0 0 2 0 0 0 2 0 2 2 2 2 2 2 0 2 2
 2 0 2 2 2 2 2 2 0 0 2 0 2 0 0]","[0 2 2 0 2 0 0 2 2 0 2 2 0 2 2 2 0 0 0 2 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 0 0
 0 2 0 2 2 2 2 2 2 0 0 0 2 0 2 2 0 0 0 0 0 0 2 2 2 2 2 2 0 0 2 2 1 0 2 2 2
 0 2 0 0 0 2 2 1 0 0 0 0 2 0 2 2 0 0 2 0 0 2 2 2 2 1 2 2 2 0 0 0 2 0 0 0 2
 0 2 2 2 0 0 2 0 2 0 2 2 2 0 2 0 2 0 0 2 2 2 2 2 2 0 2 2 0 2 0 2 2 0 2 2 0
 1 0 0 2 2 2 2 0 0 2 2 2 2 0 2 2 2 2 1 2 0 0 2 0 0 0 2 0 2 2 2 2 2 2 0 2 2
 2 0 2 2 0 2 2 2 0 0 2 0 2 0 0]",
SVM (LINEAR) - full,full,svm,0.89,0.8976713859910581,0.89,0.8644705594458248,0.9287133631395926,0.6562419562419562,0.6576136335115327,0.794444254041729,"[0 2 2 0 2 0 0 2 2 0 2 2 0 2 1 2 0 1 0 2 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 0 0
 1 2 0 2 2 2 2 2 2 0 0 0 2 0 2 2 0 0 0 0 0 0 2 2 2 2 2 2 0 0 2 2 1 0 2 2 2
 0 2 0 0 0 2 2 1 0 0 0 0 2 0 2 2 0 0 2 0 0 2 2 2 2 1 2 2 2 0 0 1 2 0 0 0 2
 0 2 0 2 0 0 2 1 2 0 2 2 2 0 2 0 2 0 0 0 1 2 2 2 2 2 2 2 0 2 0 2 2 0 2 2 0
 1 2 0 2 2 2 1 0 0 2 2 2 0 0 2 2 2 2 1 2 0 0 2 0 0 0 2 0 2 2 2 2 2 2 0 2 2
 2 0 2 2 2 2 2 2 0 0 2 0 2 0 0]","[0 2 2 0 2 0 0 2 2 0 2 2 0 2 2 2 0 0 0 2 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 0 0
 0 2 0 2 2 2 2 2 2 0 0 0 2 0 2 2 0 0 0 0 0 0 2 2 2 2 2 2 0 0 2 2 2 0 2 2 2
 0 2 0 0 0 2 2 2 0 0 0 0 2 0 2 2 0 0 2 0 0 2 2 2 2 2 2 2 2 0 0 0 2 0 0 0 2
 0 2 2 2 0 0 2 2 2 0 2 2 2 0 2 0 0 0 2 2 2 2 2 2 2 2 2 2 0 2 0 2 2 0 2 2 0
 2 0 0 2 2 2 2 0 0 2 2 2 2 0 2 2 2 2 2 2 0 0 2 0 0 0 2 0 2 0 2 2 2 2 0 2 2
 2 2 2 2 0 2 2 2 0 0 2 0 2 0 0]",
SVM (RBF) - full,full,svm,0.93,0.932989543203082,0.93,0.9230918285254569,0.9501742799486332,0.7871814671814672,0.8302723824847719,0.8705026782094095,"[0 2 2 0 2 0 0 2 2 0 2 2 0 2 1 2 0 1 0 2 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 0 0
 1 2 0 2 2 2 2 2 2 0 0 0 2 0 2 2 0 0 0 0 0 0 2 2 2 2 2 2 0 0 2 2 1 0 2 2 2
 0 2 0 0 0 2 2 1 0 0 0 0 2 0 2 2 0 0 2 0 0 2 2 2 2 1 2 2 2 0 0 1 2 0 0 0 2
 0 2 0 2 0 0 2 1 2 0 2 2 2 0 2 0 2 0 0 0 1 2 2 2 2 2 2 2 0 2 0 2 2 0 2 2 0
 1 2 0 2 2 2 1 0 0 2 2 2 0 0 2 2 2 2 1 2 0 0 2 0 0 0 2 0 2 2 2 2 2 2 0 2 2
 2 0 2 2 2 2 2 2 0 0 2 0 2 0 0]","[0 2 2 0 2 0 0 2 2 0 2 2 0 2 2 2 0 0 0 2 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 0 0
 0 2 0 2 2 2 2 2 2 0 0 0 2 0 2 2 0 0 0 0 0 0 2 2 2 2 2 2 0 0 2 2 1 0 2 2 2
 0 2 0 0 0 2 2 1 0 0 0 0 2 0 2 2 0 0 2 0 0 2 2 2 2 1 2 2 2 0 0 0 2 0 0 0 2
 0 2 2 2 0 0 2 0 2 0 2 2 2 0 2 0 2 0 0 2 2 2 2 2 2 0 2 2 0 2 0 2 2 0 2 2 0
 1 0 0 2 2 2 2 0 0 2 2 2 2 0 2 2 2 2 1 2 0 0 2 0 0 0 2 0 2 2 2 2 2 2 0 2 2
 2 0 2 2 0 2 2 2 0 0 2 0 2 0 0]",
Logistic - minimal,minimal,logistic,0.895,0.8332576400679117,0.895,0.8625331830350852,0.6000282965478211,0.6384384384384384,0.61827063078296,0.8048368958531754,"[0 2 2 0 2 0 0 2 2 0 2 2 0 2 1 2 0 1 0 2 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 0 0
 1 2 0 2 2 2 2 2 2 0 0 0 2 0 2 2 0 0 0 0 0 0 2 2 2 2 2 2 0 0 2 2 1 0 2 2 2
 0 2 0 0 0 2 2 1 0 0 0 0 2 0 2 2 0 0 2 0 0 2 2 2 2 1 2 2 2 0 0 1 2 0 0 0 2
 0 2 0 2 0 0 2 1 2 0 2 2 2 0 2 0 2 0 0 0 1 2 2 2 2 2 2 2 0 2 0 2 2 0 2 2 0
 1 2 0 2 2 2 1 0 0 2 2 2 0 0 2 2 2 2 1 2 0 0 2 0 0 0 2 0 2 2 2 2 2 2 0 2 2
 2 0 2 2 2 2 2 2 0 0 2 0 2 0 0]","[0 2 2 0 2 0 0 2 2 0 2 2 0 2 2 2 0 0 0 2 2 0 2 0 2 2 2 2 2 2 2 2 2 2 2 0 0
 0 2 0 2 2 2 2 2 2 0 0 0 2 0 2 2 0 0 0 0 0 0 2 2 2 2 2 2 0 0 2 2 2 0 2 2 2
 0 2 0 0 0 2 2 2 0 0 0 0 2 0 2 2 0 0 2 0 0 2 2 2 2 2 2 2 2 0 0 0 2 0 0 0 2
 0 2 2 2 0 0 2 2 2 0 2 2 2 0 2 0 2 0 2 2 2 2 2 2 2 2 2 2 0 2 0 2 2 0 2 2 0
 2 0 0 2 2 2 2 0 0 2 2 2 2 0 2 2 2 2 2 2 0 0 2 0 0 0 2 0 2 2 2 2 2 2 0 2 2
 2 2 2 2 0 2 2 2 0 0 2 0 2 0 0]",
Logistic - stopwords,stopwords,logistic,0.895,0.8332576400679117,0.895,0.8625331830350852,0.6000282965478211,0.6384384384384384,0.61827063078296,0.8048368958531754,"[0 2 2 0 2 0 0 2 2 0 2 2 0 2 1 2 0 1 0 2 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 0 0
 1 2 0 2 2 2 2 2 2 0 0 0 2 0 2 2 0 0 0 0 0 0 2 2 2 2 2 2 0 0 2 2 1 0 2 2 2
 0 2 0 0 0 2 2 1 0 0 0 0 2 0 2 2 0 0 2 0 0 2 2 2 2 1 2 2 2 0 0 1 2 0 0 0 2
 0 2 0 2 0 0 2 1 2 0 2 2 2 0 2 0 2 0 0 0 1 2 2 2 2 2 2 2 0 2 0 2 2 0 2 2 0
 1 2 0 2 2 2 1 0 0 2 2 2 0 0 2 2 2 2 1 2 0 0 2 0 0 0 2 0 2 2 2 2 2 2 0 2 2
 2 0 2 2 2 2 2 2 0 0 2 0 2 0 0]","[0 2 2 0 2 0 0 2 2 0 2 2 0 2 2 2 0 0 0 2 2 0 2 0 2 2 2 2 2 2 2 2 2 2 2 0 0
 0 2 0 2 2 2 2 2 2 0 0 0 2 0 2 2 0 0 0 0 0 0 2 2 2 2 2 2 0 0 2 2 2 0 2 2 2
 0 2 0 0 0 2 2 2 0 0 0 0 2 0 2 2 0 0 2 0 0 2 2 2 2 2 2 2 2 0 0 0 2 0 0 0 2
 0 2 2 2 0 0 2 2 2 0 2 2 2 0 2 0 2 0 2 2 2 2 2 2 2 2 2 2 0 2 0 2 2 0 2 2 0
 2 0 0 2 2 2 2 0 0 2 2 2 2 0 2 2 2 2 2 2 0 0 2 0 0 0 2 0 2 2 2 2 2 2 0 2 2
 2 2 2 2 0 2 2 2 0 0 2 0 2 0 0]",
