userName,score,content,at,thumbsUpCount
Noman Tanoli,4,Fast Delivery nd product is also Good,2026-03-12 23:44:07,0
Aftab Baloch,5,good,2026-03-12 22:31:15,0
K Shroif,5,good sarbic,2026-03-12 22:28:33,0
Boda Mahmoud,5,easy to use,2026-03-12 22:21:35,0
Noorudeen Ahammedu kunju,2,Good,2026-03-12 21:57:05,0
liezl,1,Its almost 2month already until now i didnt recieve my refund. i ordered last month on galary cake the next day of deliver they said that the cake is unavailable so my ordered is canceled. In this apps no costumer service so how can i get my money back?.,2026-03-12 21:53:35,0
Primus Atukunda,4,so far good 👍,2026-03-12 21:37:08,0
Md Naaz,5,this is very good app 👍,2026-03-12 21:25:07,0
New Account,5,tohfaaaa 😍😍,2026-03-12 19:50:10,0
UMAR SABIR,5,good,2026-03-12 19:39:00,0
Ahtisham Ul haq,5,good 👍,2026-03-12 18:50:30,0
Sree Lal,5,very nice,2026-03-12 18:48:27,0
DEO MANDE,5,good,2026-03-12 18:42:19,0
evans kwame Aryeh,5,fast and delivered..👍,2026-03-12 18:17:45,0
Dr Ebrahim Ahmed,1,excessive ads,2026-03-12 17:58:45,0
Waleed Kureshe,1,worst customer service support. once you actually have a problem. they will take a week and multiple calls. only to blame you for it.,2026-03-12 17:58:31,0
Nalukenge Brenda,5,Massive,2026-03-12 17:33:42,0
Fahad Pv,5,good,2026-03-12 16:33:37,0
Dipak Raj Bhandari,5,Dipak Raj Bhandari very nice,2026-03-12 16:27:06,0
Md Jameer,4,good noon,2026-03-12 16:15:30,0
Dmar Mak mafe,5,good app,2026-03-12 16:09:07,0
Malik Athasham,5,nice,2026-03-12 16:06:07,0
Gulsher Ansari,5,good,2026-03-12 15:55:51,0
Imtiaz Ahmed,5,Good,2026-03-12 15:49:19,0
Annie Hs,5,Best service,2026-03-12 15:21:04,0
Hamid ali Bhurgri1122,5,❤️❤️❤️❤️,2026-03-12 14:58:11,0
Kiran Varri,5,wonderful experience 🤩🫶,2026-03-12 14:50:18,0
Fai Chris riley,5,easy to use,2026-03-12 14:36:20,0
Eugine Leo,5,excellent 👍,2026-03-12 14:35:04,0
Shamsl Hasan,5,good,2026-03-12 14:28:26,0
ayaan khan,5,awesome,2026-03-12 14:12:33,0
Daddy Mirano,5,nice,2026-03-12 13:07:47,0
Parul Saxena,5,perfect,2026-03-12 12:11:18,0
